                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4573,                 1.7957,                 1.4868,                 1.5963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.1185,                 63.648,                    inf,                 6.9221,             0.00065672,             0.00065672,             0.00065672
                      2,                 1.3377,                 1.4516,                0.92285,                 1.4603,                0.63113,                0.73126,                0.72765,                0.38088,                0.33016,                0.46027,                0.23844,                0.05221,                 1.5414,                 6.5411,                 3.5492,                 2.5316,              0.0012972,              0.0012972,              0.0012972
                      3,                 1.2903,                 1.3942,                0.89423,                 1.4497,                0.50514,                 0.9033,                0.57959,                0.31281,                0.31196,                0.59452,                0.24002,                0.05231,                 1.3475,                 1.0286,                 4.1612,                 2.1483,              0.0019112,              0.0019112,              0.0019112
                      4,                 1.2684,                 1.3725,                0.81148,                 1.4267,                0.75658,                0.81644,                0.88734,                0.55644,                0.59733,                0.32603,                0.32662,                0.08124,                 1.3572,                 1.5563,                 1.4528,                 1.8409,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2203,                 1.3862,                0.75735,                 1.3926,                0.81711,                0.88132,                0.90379,                0.54912,                0.58152,                0.56727,                0.41502,                0.09202,                 1.3766,                 1.0375,                0.95922,                 2.0032,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1783,                 1.3467,                0.70729,                 1.3762,                0.71423,                0.30959,                0.35473,                0.23073,                0.42374,                0.09315,                0.05649,                0.01433,                 2.1566,                 1.9362,                 2.8248,                 2.6295,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1471,                 1.2969,                0.67594,                  1.353,                0.94162,                  0.928,                0.96816,                0.66129,                0.66845,                 0.6274,                0.49092,                0.12679,                 1.1816,                0.99575,                0.66797,                 1.7334,               0.001802,               0.001802,               0.001802
                      8,                 1.1338,                 1.3331,                0.66303,                 1.3403,                0.98044,                0.97808,                0.98695,                0.68452,                0.71954,                0.71781,                0.57963,                0.17705,                 1.1457,                0.99385,                0.56884,                 1.6421,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1257,                 1.2853,                0.64352,                 1.3356,                0.97173,                0.95342,                0.97623,                0.66356,                0.66998,                0.61644,                0.50838,                0.15264,                 1.1534,                0.99335,                0.65091,                 1.6744,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0979,                 1.2707,                0.62779,                 1.3188,                0.98369,                0.99155,                0.99284,                0.68129,                0.70645,                 0.7121,                0.58178,                0.18095,                 1.1385,                0.90563,                 0.5922,                 1.6223,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1043,                 1.2827,                0.59815,                 1.3119,                0.99893,                0.99452,                  0.995,                0.70167,                0.69662,                0.69315,                0.56854,                0.16299,                 1.1243,                0.89476,                0.49652,                 1.6785,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0804,                 1.2597,                0.60149,                 1.2921,                0.99009,                0.99452,                0.99312,                0.72739,                0.67039,                0.67123,                0.53618,                0.14566,                 1.0408,                0.89892,                0.47979,                 1.5862,               0.001604,               0.001604,               0.001604
                     13,                 1.0914,                 1.2604,                 0.5998,                 1.3078,                0.94634,                0.96626,                0.98538,                0.71038,                0.70216,                0.71695,                0.58844,                0.17931,                 1.0562,                0.89251,                0.52096,                 1.6051,              0.0015644,              0.0015644,              0.0015644
